LangName,People Working For it
JavaScript,59219
HTML/CSS,55466
SQL,47544
Python,36443
Java,35917
Bash/Shell/PowerShell,31991
C#,27097
PHP,23030
C++,20524
TypeScript,18523
C,18017
Other(s):,7920
Ruby,7331
Go,7201
Assembly,5833
Swift,5744
Kotlin,5620
R,5048
VBA,4781
Objective-C,4191
Scala,3309
Rust,2794
Dart,1683
nan,1314
Elixir,1260
Clojure,1254
WebAssembly,1015
F#,973
Erlang,777
